TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
2.00,1.00,1.00,0.00,14359.00,14359.00,12923.00,1436.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,6436.00,6436.00,5792.00,644.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,2124.00,2124.00,1911.00,212.00,0.00,2.00,1.00,3.00,19.00,1.00,0
2.00,1.00,1.00,0.00,7482.00,7482.00,6734.00,748.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,2907.00,2907.00,2616.00,291.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,3232.00,3232.00,2909.00,323.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,518.00,518.00,467.00,52.00,0.00,2.00,1.00,3.00,6.00,0.00,0
2.00,2.00,1.00,1.00,1177.00,1177.00,1059.00,118.00,0.00,3.00,1.00,5.00,2.00,0.00,1
2.00,1.00,1.00,0.00,3485.00,3485.00,3137.00,349.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,14497.00,14497.00,13047.00,1450.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,4562.00,4562.00,4105.00,456.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,6240.00,6240.00,5616.00,624.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,3.00,1.00,0.00,5154.00,5154.00,4638.00,515.00,0.00,2.00,1.00,3.00,18.00,0.00,1
2.00,1.00,1.00,0.00,3605.00,3605.00,3245.00,361.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,245.00,245.00,221.00,25.00,0.00,2.00,0.00,3.00,21.00,0.00,0
2.00,1.00,1.00,0.00,4500.00,4500.00,4050.00,450.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,1477.00,1477.00,1329.00,148.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,3233.00,3233.00,2910.00,323.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3300.00,3300.00,2970.00,330.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,1231.00,1231.00,1107.00,123.00,0.00,2.00,0.00,3.00,17.00,0.00,0
2.00,1.00,1.00,0.00,315.00,315.00,283.00,32.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,2160.00,2160.00,1944.00,216.00,0.00,2.00,0.00,3.00,21.00,0.00,1
2.00,1.00,1.00,0.00,9693.00,9693.00,8723.00,969.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,9693.00,9693.00,8723.00,969.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,3030.00,3030.00,2727.00,303.00,0.00,2.00,1.00,2.00,6.00,0.00,0
2.00,1.00,1.00,0.00,15012.00,15012.00,13511.00,1501.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,10528.00,10528.00,9476.00,1053.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,1216.00,1216.00,1094.00,122.00,0.00,2.00,1.00,3.00,19.00,0.00,0
2.00,1.00,1.00,0.00,4103.00,4103.00,3693.00,410.00,0.00,2.00,1.00,3.00,6.00,0.00,1
